PS_SMILES,SD
C[Si](C)(C)OC.CCCCCC,41.41
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CCCCCC,8.75
CCC(C)C#N.CCCCCC,0.17
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CCCCCC,1.25
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CCCCCC,1.19
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CCCCCC,1.15
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CCCCCC,3.57
C[Si](C)(C)OC.c1ccccc1C,35.18
CCC(C)C#N.c1ccccc1C,2.25
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.c1ccccc1C,5.04
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.c1ccccc1C,17.61
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.c1ccccc1C,3.29
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.c1ccccc1C,4.13
C/C(C)=C(C)\[Si](C)(C)C.CCOC(=O)C,16.91
C[Si](C)(C)OC.CCOC(=O)C,26.91
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CCOC(=O)C,15.65
CCC(C)C#N.CCOC(=O)C,0.27
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CCOC(=O)C,8.63
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CCOC(=O)C,9.2
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CCOC(=O)C,4.0
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CCOC(=O)C,6.15
C/C(C)=C(C)\[Si](C)(C)C.CCC(=O)C,18.07
C[Si](C)(C)OC.CCC(=O)C,21.08
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CCC(=O)C,19.32
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CCC(=O)C,11.79
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CCC(=O)C,5.43
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CCC(=O)C,17.01
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CCC(=O)C,6.94
C/C(C)=C(C)\[Si](C)(C)C.CC(=O)C,12.92
C[Si](C)(C)OC.CC(=O)C,9.28
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CC(=O)C,12.98
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CC(=O)C,11.82
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CC(=O)C,7.61
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CC(=O)C,5.94
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CC(=O)C,15.58
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CC(=O)C,7.17
C/C(C)=C(C)\[Si](C)(C)C.CC(C)O,27.51
C[Si](C)(C)OC.CC(C)O,10.71
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CC(C)O,20.51
CCC(C)C#N.CC(C)O,0.0
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CC(C)O,2.28
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CC(C)O,1.61
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CC(C)O,5.22
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CC(C)O,1.12
C/C(C)=C(C)\[Si](C)(C)C.CCO,15.13
C[Si](C)(C)OC.CCO,3.6
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CCO,12.29
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CCO,2.76
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CCO,2.28
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CCO,3.17
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CCO,6.3
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CCO,1.25
C/C(C)=C(C)\[Si](C)(C)C.CO,2.57
C[Si](C)(C)OC.CO,0.4
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CO,11.47
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CO,3.29
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CO,2.63
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CO,2.5
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CO,2.28
C/C(C)=C(C)\[Si](C)(C)C.O,0.03
C[Si](C)(C)OC.O,0.86
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.O,0.3
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.O,0.56
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.O,1.74
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.O,0.99
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.O,0.2
