Augmented_SMILES,SD
C(CC)(C)C#N.C(C)(CC)=O,0.3
C(C)(CC)C#N.C(C)C(C)=O,0.3
CCC(C#N)C.CCC(C)=O,0.3
C(C)C(C)C#N.C(C)(=O)CC,0.3
N#CC(CC)C.C(C(=O)C)C,0.3
N#CC(C)CC.C(CC)(C)=O,0.3
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CCC(=O)C,11.79
O=S(c1ccc(cc1)C)(=O)c1ccc(OC)cc1.C(CC)(C)=O,11.79
c1cc(ccc1OC)S(=O)(c1ccc(C)cc1)=O.C(=O)(C)CC,11.79
Cc1ccc(S(=O)(c2ccc(cc2)OC)=O)cc1.O=C(CC)C,11.79
c1cc(ccc1C)S(=O)(c1ccc(OC)cc1)=O.CC(=O)CC,11.79
c1(S(=O)(c2ccc(C)cc2)=O)ccc(cc1)OC.O=C(C)CC,11.79
c1c(C)ccc(c1)S(=O)(=O)c1ccc(cc1)OC.CCC(C)=O,11.79
O=S(=O)(c1ccc(cc1)OC)c1ccc(C)cc1.CC(CC)=O,11.79
c1c(ccc(c1)S(=O)(c1ccc(C)cc1)=O)OC.C(=O)(CC)C,11.79
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CCC(=O)C,11.17
c1cc(ccc1S(c1ccc(cc1)Oc1ccc(C(C)(c2ccc(C)cc2)C)cc1)(=O)=O)OC.C(C)C(C)=O,11.17
c1c(Oc2ccc(cc2)C(c2ccc(C)cc2)(C)C)ccc(c1)S(=O)(c1ccc(OC)cc1)=O.C(CC)(C)=O,11.17
c1c(OC)ccc(c1)S(c1ccc(Oc2ccc(C(C)(C)c3ccc(C)cc3)cc2)cc1)(=O)=O.O=C(C)CC,11.17
c1cc(S(=O)(c2ccc(cc2)OC)=O)ccc1Oc1ccc(cc1)C(C)(C)c1ccc(C)cc1.CCC(C)=O,11.17
c1(Oc2ccc(S(=O)(=O)c3ccc(cc3)OC)cc2)ccc(cc1)C(C)(C)c1ccc(C)cc1.C(C(=O)C)C,11.17
c1(ccc(cc1)C(C)(C)c1ccc(Oc2ccc(cc2)S(=O)(c2ccc(OC)cc2)=O)cc1)C.C(C)(CC)=O,11.17
c1cc(S(=O)(c2ccc(OC)cc2)=O)ccc1Oc1ccc(cc1)C(c1ccc(C)cc1)(C)C.CC(CC)=O,11.17
c1(ccc(S(=O)(c2ccc(OC)cc2)=O)cc1)Oc1ccc(C(C)(c2ccc(cc2)C)C)cc1.CC(=O)CC,11.17
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CCC(=O)C,5.43
c1(Cc2ccc(C)cc2)ccc(cc1)-c1ccc(c(c1)C)N1C(=O)c2c(cc(C(=O)c3cc4C(N(C(=O)c4cc3)C)=O)cc2)C1=O.C(C)(=O)CC,5.43
C(=O)(c1cc2C(N(C)C(=O)c2cc1)=O)c1ccc2c(c1)C(=O)N(c1ccc(cc1C)-c1ccc(cc1)Cc1ccc(cc1)C)C2=O.C(C)C(=O)C,5.43
O=C1N(c2ccc(-c3ccc(Cc4ccc(cc4)C)cc3)cc2C)C(c2c1ccc(C(c1ccc3c(c1)C(=O)N(C)C3=O)=O)c2)=O.C(CC)(C)=O,5.43
C1(c2c(ccc(c2)C(=O)c2cc3c(cc2)C(=O)N(C)C3=O)C(N1c1c(cc(cc1)-c1ccc(cc1)Cc1ccc(cc1)C)C)=O)=O.CC(CC)=O,5.43
c1(ccc(Cc2ccc(cc2)C)cc1)-c1cc(C)c(N2C(c3c(ccc(C(=O)c4cc5C(=O)N(C)C(=O)c5cc4)c3)C2=O)=O)cc1.CCC(C)=O,5.43
Cc1c(ccc(c1)-c1ccc(Cc2ccc(C)cc2)cc1)N1C(=O)c2c(C1=O)ccc(c2)C(c1cc2c(cc1)C(N(C2=O)C)=O)=O.C(C)C(C)=O,5.43
c1c(cc(c(c1)N1C(=O)c2cc(ccc2C1=O)C(=O)c1ccc2C(N(C)C(c2c1)=O)=O)C)-c1ccc(cc1)Cc1ccc(C)cc1.O=C(C)CC,5.43
c1c(C(=O)c2ccc3c(c2)C(N(c2ccc(-c4ccc(Cc5ccc(cc5)C)cc4)cc2C)C3=O)=O)ccc2c1C(=O)N(C)C2=O.C(=O)(CC)C,5.43
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CCC(=O)C,17.01
c1(N2C(c3c(ccc(C(c4ccc5c(c4)C(N(C5=O)C)=O)=O)c3)C2=O)=O)ccc(cc1)C1(C)c2c(ccc(c2)C)C(C)(C)C1.CC(CC)=O,17.01
c12C(=O)N(C(=O)c2cc(cc1)C(=O)c1ccc2C(=O)N(C(=O)c2c1)c1ccc(C2(C)c3c(C(C)(C)C2)ccc(C)c3)cc1)C.C(C)(=O)CC,17.01
c1cc(cc2C(=O)N(c3ccc(C4(C)CC(c5c4cc(cc5)C)(C)C)cc3)C(=O)c12)C(=O)c1cc2C(=O)N(C)C(c2cc1)=O.CCC(C)=O,17.01
c1c(ccc(C2(C)CC(c3ccc(C)cc32)(C)C)c1)N1C(c2c(C1=O)cc(C(c1cc3c(cc1)C(=O)N(C)C3=O)=O)cc2)=O.C(C)C(=O)C,17.01
c1(ccc2c(c1)C(N(c1ccc(C3(C)c4cc(C)ccc4C(C3)(C)C)cc1)C2=O)=O)C(c1ccc2c(c1)C(=O)N(C2=O)C)=O.O=C(C)CC,17.01
c12C(N(C(c1cc(C(c1ccc3c(c1)C(=O)N(C3=O)C)=O)cc2)=O)c1ccc(cc1)C1(C)c2c(C(C1)(C)C)ccc(C)c2)=O.C(=O)(C)CC,17.01
c12C(CC(c2ccc(C)c1)(C)C)(c1ccc(N2C(c3ccc(C(c4ccc5c(C(N(C5=O)C)=O)c4)=O)cc3C2=O)=O)cc1)C.O=C(CC)C,17.01
O=C1N(C(c2ccc(C(=O)c3ccc4c(c3)C(N(c3ccc(cc3)C3(C)c5c(C(C3)(C)C)ccc(c5)C)C4=O)=O)cc12)=O)C.C(C(C)=O)C,17.01
C/C(C)=C(C)\[Si](C)(C)C.CC(=O)C,12.92
[Si](C)(C(=C(C)C)C)(C)C.C(C)(C)=O,12.92
[Si](C)(C)(C(=C(C)C)C)C.C(=O)(C)C,12.92
CC(=C([Si](C)(C)C)C)C.O=C(C)C,12.92
C[Si](C)(C(=C(C)C)C)C.C(C)(=O)C,12.92
C[Si](C)(C)OC.CC(=O)C,9.28
O([Si](C)(C)C)C.CC(C)=O,9.28
O(C)[Si](C)(C)C.C(C)(C)=O,9.28
[Si](OC)(C)(C)C.C(=O)(C)C,9.28
C[Si](C)(OC)C.O=C(C)C,9.28
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CC(=O)C,12.98
C(CCCCCCCCCCCNC)(OCCCCCOCCCCOCCCCC)=O.O=C(C)C,12.98
N(CCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC)C.CC(C)=O,12.98
C(CCOCCCCOCCCCC)CCOC(CCCCCCCCCCCNC)=O.C(=O)(C)C,12.98
CCC(C)C#N.CC(=O)C,0.27
C(C(C#N)C)C.C(C)(=O)C,0.27
C(C)(C#N)CC.CC(C)=O,0.27
CCC(C#N)C.C(=O)(C)C,0.27
CC(C#N)CC.O=C(C)C,0.27
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CC(=O)C,11.82
O=S(c1ccc(cc1)OC)(=O)c1ccc(C)cc1.C(C)(=O)C,11.82
COc1ccc(S(=O)(=O)c2ccc(C)cc2)cc1.CC(C)=O,11.82
c1cc(C)ccc1S(=O)(=O)c1ccc(OC)cc1.O=C(C)C,11.82
O=S(=O)(c1ccc(OC)cc1)c1ccc(C)cc1.C(=O)(C)C,11.82
c1cc(S(=O)(=O)c2ccc(cc2)C)ccc1OC.C(C)(C)=O,11.82
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CC(=O)C,7.61
c1(C(C)(c2ccc(cc2)C)C)ccc(cc1)Oc1ccc(S(=O)(=O)c2ccc(cc2)OC)cc1.C(=O)(C)C,7.61
c1(Oc2ccc(C(C)(C)c3ccc(C)cc3)cc2)ccc(S(=O)(=O)c2ccc(cc2)OC)cc1.CC(C)=O,7.61
c1cc(ccc1Oc1ccc(cc1)C(C)(c1ccc(cc1)C)C)S(=O)(c1ccc(cc1)OC)=O.O=C(C)C,7.61
c1c(C)ccc(c1)C(C)(c1ccc(Oc2ccc(cc2)S(=O)(=O)c2ccc(OC)cc2)cc1)C.C(C)(=O)C,7.61
O(c1ccc(C(c2ccc(cc2)C)(C)C)cc1)c1ccc(S(c2ccc(cc2)OC)(=O)=O)cc1.C(C)(C)=O,7.61
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CC(=O)C,5.94
O=C1N(C)C(c2cc(ccc21)C(=O)c1cc2C(=O)N(c3c(cc(cc3)-c3ccc(cc3)Cc3ccc(cc3)C)C)C(=O)c2cc1)=O.O=C(C)C,5.94
N1(C(c2ccc(C(c3ccc4C(N(c5c(cc(-c6ccc(Cc7ccc(cc7)C)cc6)cc5)C)C(c4c3)=O)=O)=O)cc2C1=O)=O)C.CC(C)=O,5.94
O=C1N(C)C(=O)c2cc(C(c3ccc4c(c3)C(=O)N(C4=O)c3ccc(-c4ccc(Cc5ccc(cc5)C)cc4)cc3C)=O)ccc12.C(C)(C)=O,5.94
c1c(ccc(c1)-c1cc(C)c(cc1)N1C(=O)c2cc(ccc2C1=O)C(=O)c1cc2c(C(N(C)C2=O)=O)cc1)Cc1ccc(C)cc1.C(C)(=O)C,5.94
C1(=O)c2cc(ccc2C(=O)N1c1ccc(cc1C)-c1ccc(Cc2ccc(cc2)C)cc1)C(c1ccc2C(=O)N(C(c2c1)=O)C)=O.C(=O)(C)C,5.94
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CC(=O)C,15.58
N1(C)C(=O)c2c(C1=O)ccc(C(c1ccc3C(N(C(c3c1)=O)c1ccc(C3(CC(C)(c4ccc(cc34)C)C)C)cc1)=O)=O)c2.O=C(C)C,15.58
c12c(cc(C)cc2)C(CC1(C)C)(C)c1ccc(N2C(c3c(ccc(c3)C(=O)c3ccc4C(=O)N(C)C(=O)c4c3)C2=O)=O)cc1.CC(C)=O,15.58
c1(ccc(cc1)N1C(c2ccc(C(c3cc4C(=O)N(C(=O)c4cc3)C)=O)cc2C1=O)=O)C1(C)CC(C)(c2c1cc(C)cc2)C.C(C)(=O)C,15.58
C1(=O)N(C)C(=O)c2c1cc(C(=O)c1cc3C(=O)N(C(=O)c3cc1)c1ccc(cc1)C1(C)c3c(ccc(C)c3)C(C1)(C)C)cc2.C(=O)(C)C,15.58
c1(C(c2cc3c(C(N(c4ccc(cc4)C4(C)c5cc(ccc5C(C4)(C)C)C)C3=O)=O)cc2)=O)ccc2c(c1)C(=O)N(C2=O)C.C(C)(C)=O,15.58
C/C(C)=C(C)\[Si](C)(C)C.CC(C)O,27.51
C[Si](C(C)=C(C)C)(C)C.C(C)(C)O,27.51
[Si](C)(C(=C(C)C)C)(C)C.OC(C)C,27.51
C(C)(C)=C([Si](C)(C)C)C.CC(O)C,27.51
CC(=C(C)[Si](C)(C)C)C.C(O)(C)C,27.51
C[Si](C)(C(=C(C)C)C)C.C(C)(O)C,27.51
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CC(C)O,20.51
C(CCCCCC(=O)OCCCCCOCCCCOCCCCC)CCCCCNC.C(C)(O)C,20.51
C(OCCCCOCCCCCOC(CCCCCCCCCCCNC)=O)CCCC.OC(C)C,20.51
C(CCOCCCCOCCCCC)CCOC(CCCCCCCCCCCNC)=O.CC(O)C,20.51
CCCCCOCCCCOCCCCCOC(=O)CCCCCCCCCCCNC.C(C)(C)O,20.51
CCC(C)C#N.CC(C)O,0.0
C(C(CC)C)#N.CC(O)C,0.0
CC(CC)C#N.OC(C)C,0.0
N#CC(CC)C.C(C)(O)C,0.0
CCC(C#N)C.C(O)(C)C,0.0
C(CC)(C#N)C.C(C)(C)O,0.0
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CC(C)O,2.28
c1(S(=O)(=O)c2ccc(C)cc2)ccc(OC)cc1.C(C)(O)C,2.28
c1(ccc(cc1)C)S(c1ccc(cc1)OC)(=O)=O.CC(O)C,2.28
Cc1ccc(cc1)S(=O)(c1ccc(cc1)OC)=O.OC(C)C,2.28
c1c(ccc(c1)OC)S(=O)(c1ccc(cc1)C)=O.C(O)(C)C,2.28
O(c1ccc(S(=O)(c2ccc(C)cc2)=O)cc1)C.C(C)(C)O,2.28
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CC(C)O,1.61
c1(C(C)(c2ccc(C)cc2)C)ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(OC)cc1.CC(O)C,1.61
c1(ccc(cc1)OC)S(=O)(=O)c1ccc(Oc2ccc(cc2)C(c2ccc(C)cc2)(C)C)cc1.C(O)(C)C,1.61
c1cc(ccc1S(=O)(=O)c1ccc(Oc2ccc(C(C)(c3ccc(cc3)C)C)cc2)cc1)OC.C(C)(O)C,1.61
C(C)(c1ccc(cc1)C)(c1ccc(Oc2ccc(S(=O)(=O)c3ccc(OC)cc3)cc2)cc1)C.OC(C)C,1.61
S(=O)(=O)(c1ccc(OC)cc1)c1ccc(Oc2ccc(cc2)C(C)(c2ccc(C)cc2)C)cc1.C(C)(C)O,1.61
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CC(C)O,2.22
c1(N2C(=O)c3cc(ccc3C2=O)C(=O)c2cc3C(=O)N(C)C(=O)c3cc2)ccc(cc1C)-c1ccc(Cc2ccc(C)cc2)cc1.CC(O)C,2.22
c1c(C(c2cc3c(C(N(C3=O)c3c(cc(-c4ccc(Cc5ccc(C)cc5)cc4)cc3)C)=O)cc2)=O)ccc2C(N(C)C(c12)=O)=O.OC(C)C,2.22
C1(=O)N(C(c2ccc(C(c3ccc4c(C(=O)N(C4=O)c4c(cc(-c5ccc(Cc6ccc(cc6)C)cc5)cc4)C)c3)=O)cc21)=O)C.C(C)(C)O,2.22
c1c(c(ccc1-c1ccc(cc1)Cc1ccc(cc1)C)N1C(=O)c2c(ccc(c2)C(=O)c2cc3C(=O)N(C)C(=O)c3cc2)C1=O)C.C(O)(C)C,2.22
c1cc(C)ccc1Cc1ccc(cc1)-c1cc(C)c(N2C(c3cc(ccc3C2=O)C(c2ccc3C(N(C(c3c2)=O)C)=O)=O)=O)cc1.C(C)(O)C,2.22
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CC(C)O,5.22
C1C(C)(C)c2ccc(C)cc2C1(C)c1ccc(cc1)N1C(c2cc(C(=O)c3cc4C(N(C)C(=O)c4cc3)=O)ccc2C1=O)=O.OC(C)C,5.22
c1cc(C2(C)CC(C)(C)c3c2cc(cc3)C)ccc1N1C(c2c(cc(C(=O)c3cc4c(cc3)C(=O)N(C4=O)C)cc2)C1=O)=O.C(O)(C)C,5.22
Cc1ccc2c(C(CC2(C)C)(C)c2ccc(cc2)N2C(c3c(C2=O)cc(cc3)C(c2ccc3c(c2)C(=O)N(C)C3=O)=O)=O)c1.CC(O)C,5.22
c1(cc2c(C(N(C2=O)c2ccc(cc2)C2(C)c3c(C(C2)(C)C)ccc(C)c3)=O)cc1)C(=O)c1ccc2C(=O)N(C)C(c2c1)=O.C(C)(O)C,5.22
c1(C2(C)c3c(C(C2)(C)C)ccc(C)c3)ccc(cc1)N1C(=O)c2ccc(C(=O)c3cc4C(=O)N(C(c4cc3)=O)C)cc2C1=O.C(C)(C)O,5.22
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CC(C)O,1.12
c1c(Oc2ccc(C(c3ccc(cc3)Oc3cc4c(C(N(c5cc(ccc5)C)C4=O)=O)cc3)(C)C)cc2)cc2C(N(C(=O)c2c1)C)=O.C(C)(C)O,1.12
O=C1c2c(C(=O)N1C)ccc(Oc1ccc(C(C)(C)c3ccc(cc3)Oc3ccc4c(c3)C(=O)N(C4=O)c3cccc(c3)C)cc1)c2.OC(C)C,1.12
c1ccc(cc1C)N1C(c2c(C1=O)cc(Oc1ccc(C(C)(C)c3ccc(cc3)Oc3ccc4c(C(N(C)C4=O)=O)c3)cc1)cc2)=O.CC(O)C,1.12
C1(=O)c2c(C(N1c1cccc(C)c1)=O)cc(Oc1ccc(cc1)C(C)(c1ccc(Oc3ccc4c(c3)C(=O)N(C4=O)C)cc1)C)cc2.C(O)(C)C,1.12
c1cc(C(c2ccc(cc2)Oc2cc3c(C(N(c4cccc(C)c4)C3=O)=O)cc2)(C)C)ccc1Oc1ccc2C(N(C(c2c1)=O)C)=O.C(C)(O)C,1.12
C/C(C)=C(C)\[Si](C)(C)C.CCO,15.13
CC(=C(C)[Si](C)(C)C)C.C(O)C,15.13
C(=C(C)C)([Si](C)(C)C)C.OCC,15.13
CC(C)=C([Si](C)(C)C)C.C(C)O,15.13
C[Si](C)(C)OC.CCO,3.6
[Si](OC)(C)(C)C.OCC,3.6
C[Si](OC)(C)C.C(C)O,3.6
[Si](C)(C)(OC)C.C(O)C,3.6
CCC(C)C#N.CCO,0.33
C(C)(CC)C#N.C(O)C,0.33
CCC(C#N)C.C(C)O,0.33
N#CC(CC)C.OCC,0.33
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CCO,2.76
c1(ccc(cc1)S(=O)(c1ccc(cc1)OC)=O)C.OCC,2.76
c1(C)ccc(cc1)S(=O)(c1ccc(cc1)OC)=O.C(O)C,2.76
O=S(=O)(c1ccc(OC)cc1)c1ccc(cc1)C.C(C)O,2.76
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CCO,2.28
O=S(c1ccc(cc1)OC)(c1ccc(Oc2ccc(C(C)(c3ccc(cc3)C)C)cc2)cc1)=O.OCC,2.28
c1cc(ccc1C(C)(C)c1ccc(Oc2ccc(S(c3ccc(OC)cc3)(=O)=O)cc2)cc1)C.C(O)C,2.28
c1cc(Oc2ccc(cc2)C(C)(C)c2ccc(C)cc2)ccc1S(c1ccc(cc1)OC)(=O)=O.C(C)O,2.28
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CCO,3.17
c1(ccc(C)cc1)Cc1ccc(cc1)-c1cc(c(N2C(=O)c3cc(ccc3C2=O)C(=O)c2cc3c(C(=O)N(C3=O)C)cc2)cc1)C.C(C)O,3.17
c12C(N(c3c(cc(-c4ccc(Cc5ccc(C)cc5)cc4)cc3)C)C(c1cc(cc2)C(c1cc2c(C(N(C2=O)C)=O)cc1)=O)=O)=O.OCC,3.17
c1c(ccc(c1)C)Cc1ccc(cc1)-c1ccc(c(C)c1)N1C(c2c(C1=O)cc(C(c1cc3C(=O)N(C)C(c3cc1)=O)=O)cc2)=O.C(O)C,3.17
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CCO,1.25
CN1C(=O)c2cc(ccc2C1=O)Oc1ccc(C(c2ccc(cc2)Oc2ccc3c(C(=O)N(c4cccc(c4)C)C3=O)c2)(C)C)cc1.OCC,1.25
c1cc(cc2C(=O)N(C(c12)=O)C)Oc1ccc(cc1)C(C)(C)c1ccc(Oc2cc3c(cc2)C(=O)N(c2cc(ccc2)C)C3=O)cc1.C(O)C,1.25
C1(c2c(ccc(c2)Oc2ccc(cc2)C(C)(c2ccc(Oc3cc4c(cc3)C(=O)N(C)C4=O)cc2)C)C(N1c1cccc(c1)C)=O)=O.C(C)O,1.25
C[Si](C)(C)OC.CO,0.4
O(C)[Si](C)(C)C.OC,0.4
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CO,11.47
C(CCOCCCCOCCCCCOC(CCCCCCCCCCCNC)=O)CC.OC,11.47
CCC(C)C#N.CO,2.91
C(C(C#N)C)C.OC,2.91
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CO,3.29
c1c(ccc(OC)c1)S(=O)(c1ccc(C)cc1)=O.OC,3.29
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CO,2.63
c1cc(C(C)(C)c2ccc(Oc3ccc(S(=O)(c4ccc(OC)cc4)=O)cc3)cc2)ccc1C.OC,2.63
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CO,2.5
O=C1N(c2c(C)cc(-c3ccc(Cc4ccc(C)cc4)cc3)cc2)C(c2cc(C(=O)c3cc4c(C(N(C)C4=O)=O)cc3)ccc12)=O.OC,2.5
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CO,8.01
c1(cc2c(cc1)C(N(c1ccc(C3(C)c4c(ccc(C)c4)C(C3)(C)C)cc1)C2=O)=O)C(c1ccc2C(=O)N(C)C(=O)c2c1)=O.OC,8.01
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CO,2.28
c1cc2c(C(N(C2=O)C)=O)cc1Oc1ccc(C(C)(c2ccc(Oc3cc4C(=O)N(C(=O)c4cc3)c3cc(C)ccc3)cc2)C)cc1.OC,2.28
C[Si](C)(C)OC.O,0.86
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.O,0.3
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.O,0.56
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.O,0.96
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.O,1.74
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.O,0.99
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.O,0.2
