Polymer,Polymer_SMILES,Solvent,Solvent_SMILES,Sum_of_Frags,SD,Polymer_SELFIES,Solvent_SELFIES,Polymer_BigSMILES,Solvent_BigSMILES,PS_manual,PS_manual_aug,PS_manual_aug_str
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,EA,CCOC(=O)C,"[4, 1, 0, 3, 5, 2, 0, 0, 5, 0, 0, 0]",6.15,[C][C][=C][C][=C][C][Branch2_1][Branch1_2][=C][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Branch1_1][Branch2_1][O][C][=C][C][=C][Branch2_1][Ring2][O][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch2_1][Ring1][Branch2_1][O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][N][C][=C][Ring2][Ring2][Ring1][C][Ring2][Ring2][Branch1_3][=O][=C][Ring2][Ring2][=C],[C][C][O][C][Branch1_2][C][=O][C],{[][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]CCC[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O[>][<]}{[>][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]Cc1ccccc1[>][]},CCOC(=O)C,"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'c1ccccc1', 'O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccccc1', '.', 'CCOC(=O)C']","[['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'c1ccccc1', 'O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccccc1', '.', 'CCOC(=O)C'], ['Cc1ccccc1', 'CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'c1ccccc1', 'O', 'O=C1NC(=O)c2ccccc21', '.', 'CCOC(=O)C'], ['O=C1NC(=O)c2ccccc21', 'Cc1ccccc1', 'CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'c1ccccc1', 'O', '.', 'CCOC(=O)C'], ['O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccccc1', 'CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'c1ccccc1', '.', 'CCOC(=O)C'], ['c1ccccc1', 'O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccccc1', 'CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', '.', 'CCOC(=O)C'], ['CCC', 'c1ccccc1', 'O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccccc1', 'CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', '.', 'CCOC(=O)C'], ['c1ccccc1', 'CCC', 'c1ccccc1', 'O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccccc1', 'CN1C(=O)c2ccccc2C1=O', 'O', '.', 'CCOC(=O)C'], ['O', 'c1ccccc1', 'CCC', 'c1ccccc1', 'O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccccc1', 'CN1C(=O)c2ccccc2C1=O', '.', 'CCOC(=O)C']]","['CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CCOC(=O)C', 'Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.CCOC(=O)C', 'O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.O.CCOC(=O)C', 'O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.CCOC(=O)C', 'c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.CCOC(=O)C', 'CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCOC(=O)C', 'c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.CCOC(=O)C', 'O.c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.CCOC(=O)C']"
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,MEK,CCC(=O)C,"[6, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",18.07,[C][/C][Branch1_1][C][C][=C][Branch1_1][C][C][\Siexpl][Branch1_1][C][C][Branch1_1][C][C][C],[C][C][C][Branch1_2][C][=O][C],{[][<]CCC[>][<]}{[>][<]CC[Si](C)(C)C[>][]},CCC(=O)C,"['CCC', 'CC[Si](C)(C)C', '.', 'CCC(=O)C']","[['CCC', 'CC[Si](C)(C)C', '.', 'CCC(=O)C'], ['CC[Si](C)(C)C', 'CCC', '.', 'CCC(=O)C']]","['CCC.CC[Si](C)(C)C.CCC(=O)C', 'CC[Si](C)(C)C.CCC.CCC(=O)C']"
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,MEK,CCC(=O)C,"[2, 576, 0, 75, 26, 25, 0, 0, 0, 0, 0, 0]",19.32,[C][N][C][C][C][C][C][C][C][C][C][C][C][C][Branch1_2][C][=O][O][C][C][C][C][C][O][C][C][C][C][O][C][C][C][C][C],[C][C][C][Branch1_2][C][=O][C],{[][<]CNCCCCCCCCCCCC=O[>][<]}{[>][<]CCCCCOCCCCOCCCCCO[>][]},CCC(=O)C,"['CNCCCCCCCCCCCC=O', 'CCCCCOCCCCOCCCCCO', '.', 'CCC(=O)C']","[['CNCCCCCCCCCCCC=O', 'CCCCCOCCCCOCCCCCO', '.', 'CCC(=O)C'], ['CCCCCOCCCCOCCCCCO', 'CNCCCCCCCCCCCC=O', '.', 'CCC(=O)C']]","['CNCCCCCCCCCCCC=O.CCCCCOCCCCOCCCCCO.CCC(=O)C', 'CCCCCOCCCCOCCCCCO.CNCCCCCCCCCCCC=O.CCC(=O)C']"
PAN,CCC(C)C#N,MEK,CCC(=O)C,"[2, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",0.3,[C][C][C][Branch1_1][C][C][C][#N],[C][C][C][Branch1_2][C][=O][C],{[][<]CC[>][<]}{[>][<]CCC#N[>][]},CCC(=O)C,"['CC', 'CCC#N', '.', 'CCC(=O)C']","[['CC', 'CCC#N', '.', 'CCC(=O)C'], ['CCC#N', 'CC', '.', 'CCC(=O)C']]","['CC.CCC#N.CCC(=O)C', 'CCC#N.CC.CCC(=O)C']"
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,MEK,CCC(=O)C,"[2, 1, 0, 1, 1, 0, 0, 1, 2, 0, 0, 0]",11.79,[C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S],[C][C][C][Branch1_2][C][=O][C],{[][<]CO[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]Cc1ccccc1[>][]},CCC(=O)C,"['CO', 'c1ccccc1', 'O=S=O', 'Cc1ccccc1', '.', 'CCC(=O)C']","[['CO', 'c1ccccc1', 'O=S=O', 'Cc1ccccc1', '.', 'CCC(=O)C'], ['Cc1ccccc1', 'CO', 'c1ccccc1', 'O=S=O', '.', 'CCC(=O)C'], ['O=S=O', 'Cc1ccccc1', 'CO', 'c1ccccc1', '.', 'CCC(=O)C'], ['c1ccccc1', 'O=S=O', 'Cc1ccccc1', 'CO', '.', 'CCC(=O)C']]","['CO.c1ccccc1.O=S=O.Cc1ccccc1.CCC(=O)C', 'Cc1ccccc1.CO.c1ccccc1.O=S=O.CCC(=O)C', 'O=S=O.Cc1ccccc1.CO.c1ccccc1.CCC(=O)C', 'c1ccccc1.O=S=O.Cc1ccccc1.CO.CCC(=O)C']"
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,MEK,CCC(=O)C,"[4, 1, 0, 2, 1, 0, 0, 1, 4, 0, 0, 0]",11.17,[C][O][C][=C][C][=C][Branch2_1][Branch1_1][C][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][#C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S][C][=C][Ring2][Ring1][Branch1_3][C][=C][Ring2][Ring1][S],[C][C][C][Branch1_2][C][=O][C],{[][<]CO[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]CCC[>][<]}{[>][<]Cc1ccccc1[>][]},CCC(=O)C,"['CO', 'c1ccccc1', 'O=S=O', 'c1ccccc1', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', '.', 'CCC(=O)C']","[['CO', 'c1ccccc1', 'O=S=O', 'c1ccccc1', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', '.', 'CCC(=O)C'], ['Cc1ccccc1', 'CO', 'c1ccccc1', 'O=S=O', 'c1ccccc1', 'O', 'c1ccccc1', 'CCC', '.', 'CCC(=O)C'], ['CCC', 'Cc1ccccc1', 'CO', 'c1ccccc1', 'O=S=O', 'c1ccccc1', 'O', 'c1ccccc1', '.', 'CCC(=O)C'], ['c1ccccc1', 'CCC', 'Cc1ccccc1', 'CO', 'c1ccccc1', 'O=S=O', 'c1ccccc1', 'O', '.', 'CCC(=O)C'], ['O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'CO', 'c1ccccc1', 'O=S=O', 'c1ccccc1', '.', 'CCC(=O)C'], ['c1ccccc1', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'CO', 'c1ccccc1', 'O=S=O', '.', 'CCC(=O)C'], ['O=S=O', 'c1ccccc1', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'CO', 'c1ccccc1', '.', 'CCC(=O)C'], ['c1ccccc1', 'O=S=O', 'c1ccccc1', 'O', 'c1ccccc1', 'CCC', 'Cc1ccccc1', 'CO', '.', 'CCC(=O)C']]","['CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CCC(=O)C', 'Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.CCC(=O)C', 'CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC(=O)C', 'c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.O.CCC(=O)C', 'O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.c1ccccc1.CCC(=O)C', 'c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.O=S=O.CCC(=O)C', 'O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.c1ccccc1.CCC(=O)C', 'c1ccccc1.O=S=O.c1ccccc1.O.c1ccccc1.CCC.Cc1ccccc1.CO.CCC(=O)C']"
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,MEK,CCC(=O)C,"[2, 1, 0, 0, 6, 2, 0, 0, 3, 0, 0, 0]",5.43,[C][C][=C][C][=C][Branch2_1][Branch1_2][=N][C][C][=C][C][=C][Branch2_1][Branch1_1][S][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][Branch1_1][C][C][=C][Ring2][Ring1][S][C][=C][Ring2][Ring2][Branch1_2][C][=C][Ring2][Ring2][=N],[C][C][C][Branch1_2][C][=O][C],{[][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]C=O[>][<]}{[>][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]Cc1ccccc1[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]C[>][<]}{[>][<]Cc1ccccc1[>][]},CCC(=O)C,"['O=C1NC(=O)c2ccccc21', 'C=O', 'CN1C(=O)c2ccccc2C1=O', 'Cc1ccccc1', 'c1ccccc1', 'C', 'Cc1ccccc1', '.', 'CCC(=O)C']","[['O=C1NC(=O)c2ccccc21', 'C=O', 'CN1C(=O)c2ccccc2C1=O', 'Cc1ccccc1', 'c1ccccc1', 'C', 'Cc1ccccc1', '.', 'CCC(=O)C'], ['Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', 'C=O', 'CN1C(=O)c2ccccc2C1=O', 'Cc1ccccc1', 'c1ccccc1', 'C', '.', 'CCC(=O)C'], ['C', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', 'C=O', 'CN1C(=O)c2ccccc2C1=O', 'Cc1ccccc1', 'c1ccccc1', '.', 'CCC(=O)C'], ['c1ccccc1', 'C', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', 'C=O', 'CN1C(=O)c2ccccc2C1=O', 'Cc1ccccc1', '.', 'CCC(=O)C'], ['Cc1ccccc1', 'c1ccccc1', 'C', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', 'C=O', 'CN1C(=O)c2ccccc2C1=O', '.', 'CCC(=O)C'], ['CN1C(=O)c2ccccc2C1=O', 'Cc1ccccc1', 'c1ccccc1', 'C', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', 'C=O', '.', 'CCC(=O)C'], ['C=O', 'CN1C(=O)c2ccccc2C1=O', 'Cc1ccccc1', 'c1ccccc1', 'C', 'Cc1ccccc1', 'O=C1NC(=O)c2ccccc21', '.', 'CCC(=O)C']]","['O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.C.Cc1ccccc1.CCC(=O)C', 'Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.C.CCC(=O)C', 'C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.CCC(=O)C', 'c1ccccc1.C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.CCC(=O)C', 'Cc1ccccc1.c1ccccc1.C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.CCC(=O)C', 'CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CCC(=O)C', 'C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.CCC(=O)C']"
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,MEK,CCC(=O)C,"[5, 2, 0, 0, 6, 2, 0, 0, 4, 0, 0, 0]",17.01,[C][C][=C][C][=C][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][C][Branch1_1][C][C][Branch2_1][Branch1_1][=N][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][=C][Ring2][Ring1][#C][C][C][Ring2][Ring2][Branch1_2][Branch1_1][C][C][C],[C][C][C][Branch1_2][C][=O][C],{[][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]C=O[>][<]}{[>][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]Cc1ccc2c(c1)C(C)CC2(C)C[>][]},CCC(=O)C,"['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccc2c(c1)C(C)CC2(C)C', '.', 'CCC(=O)C']","[['CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccc2c(c1)C(C)CC2(C)C', '.', 'CCC(=O)C'], ['Cc1ccc2c(c1)C(C)CC2(C)C', 'CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', '.', 'CCC(=O)C'], ['c1ccccc1', 'Cc1ccc2c(c1)C(C)CC2(C)C', 'CN1C(=O)c2ccccc2C1=O', 'C=O', 'O=C1NC(=O)c2ccccc21', '.', 'CCC(=O)C'], ['O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccc2c(c1)C(C)CC2(C)C', 'CN1C(=O)c2ccccc2C1=O', 'C=O', '.', 'CCC(=O)C'], ['C=O', 'O=C1NC(=O)c2ccccc21', 'c1ccccc1', 'Cc1ccc2c(c1)C(C)CC2(C)C', 'CN1C(=O)c2ccccc2C1=O', '.', 'CCC(=O)C']]","['CN1C(=O)c2ccccc2C1=O.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.Cc1ccc2c(c1)C(C)CC2(C)C.CCC(=O)C', 'Cc1ccc2c(c1)C(C)CC2(C)C.CN1C(=O)c2ccccc2C1=O.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.CCC(=O)C', 'c1ccccc1.Cc1ccc2c(c1)C(C)CC2(C)C.CN1C(=O)c2ccccc2C1=O.C=O.O=C1NC(=O)c2ccccc21.CCC(=O)C', 'O=C1NC(=O)c2ccccc21.c1ccccc1.Cc1ccc2c(c1)C(C)CC2(C)C.CN1C(=O)c2ccccc2C1=O.C=O.CCC(=O)C', 'C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.Cc1ccc2c(c1)C(C)CC2(C)C.CN1C(=O)c2ccccc2C1=O.CCC(=O)C']"
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,MEK,CCC(=O)C,"[4, 1, 0, 2, 5, 2, 0, 0, 5, 0, 0, 0]",6.94,[C][C][=C][C][=C][C][Branch2_1][Branch1_2][=C][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Branch1_1][Branch2_1][O][C][=C][C][=C][Branch2_1][Ring2][O][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch2_1][Ring1][Branch2_1][O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][N][C][=C][Ring2][Ring2][Ring1][C][Ring2][Ring2][Branch1_3][=O][=C][Ring2][Ring2][=C],[C][C][C][Branch1_2][C][=O][C],{[][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]CCC[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O[>][<]}{[>][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]Cc1ccccc1[>][]},CCC(=O)C,"['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'c1ccccc1', 'O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccccc1', '.', 'CCC(=O)C']","[['CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'c1ccccc1', 'O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccccc1', '.', 'CCC(=O)C'], ['Cc1ccccc1', 'CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'c1ccccc1', 'O', 'O=C1NC(=O)c2ccccc21', '.', 'CCC(=O)C'], ['O=C1NC(=O)c2ccccc21', 'Cc1ccccc1', 'CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'c1ccccc1', 'O', '.', 'CCC(=O)C'], ['O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccccc1', 'CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', 'c1ccccc1', '.', 'CCC(=O)C'], ['c1ccccc1', 'O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccccc1', 'CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', 'CCC', '.', 'CCC(=O)C'], ['CCC', 'c1ccccc1', 'O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccccc1', 'CN1C(=O)c2ccccc2C1=O', 'O', 'c1ccccc1', '.', 'CCC(=O)C'], ['c1ccccc1', 'CCC', 'c1ccccc1', 'O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccccc1', 'CN1C(=O)c2ccccc2C1=O', 'O', '.', 'CCC(=O)C'], ['O', 'c1ccccc1', 'CCC', 'c1ccccc1', 'O', 'O=C1NC(=O)c2ccccc21', 'Cc1ccccc1', 'CN1C(=O)c2ccccc2C1=O', '.', 'CCC(=O)C']]","['CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CCC(=O)C', 'Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.CCC(=O)C', 'O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.O.CCC(=O)C', 'O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.c1ccccc1.CCC(=O)C', 'c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC.CCC(=O)C', 'CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.c1ccccc1.CCC(=O)C', 'c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.CCC(=O)C', 'O.c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.CCC(=O)C']"
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,Acetone,CC(=O)C,"[6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",12.92,[C][/C][Branch1_1][C][C][=C][Branch1_1][C][C][\Siexpl][Branch1_1][C][C][Branch1_1][C][C][C],[C][C][Branch1_2][C][=O][C],{[][<]CCC[>][<]}{[>][<]CC[Si](C)(C)C[>][]},CC(=O)C,"['CCC', 'CC[Si](C)(C)C', '.', 'CC(=O)C']","[['CCC', 'CC[Si](C)(C)C', '.', 'CC(=O)C'], ['CC[Si](C)(C)C', 'CCC', '.', 'CC(=O)C']]","['CCC.CC[Si](C)(C)C.CC(=O)C', 'CC[Si](C)(C)C.CCC.CC(=O)C']"
